,Unnamed: 0,offer_type,person,time,difficulty,duration,reward,web,email,mobile,social,bogo,discount,informational,age,income,member_date_int,F,M,typical_spending_m1,num_offers,spending_during_offer,preds
13,72,bogo,182e68952b474700b171e21b85c258ac,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,1486,0,0,0.0015439093484419266,2,0.0,0.13896063
14,75,bogo,f8aedd0cbea0419c806842b4265b82e5,0,10,7,10,0,1,1,1,1,0,0,72,72000.0,1109,1,0,0.28969870875179343,2,0.0,2.6131904
15,77,discount,a9780228a1d04539afdee8b745e4be10,0,10,10,2,1,1,1,1,0,1,0,76,63000.0,983,0,1,0.28408823529411764,4,0.0,2.916252
16,80,bogo,6d28f18e91324d358d69d1e4b01f1ace,0,5,5,5,1,1,1,1,1,0,0,39,60000.0,1513,1,0,0.9746109510086456,4,0.0,2.1847782
17,84,discount,13033baa9d294c3c9165a00d71b72614,0,10,7,2,1,1,1,0,0,1,0,53,96000.0,1521,0,1,0.2003463203463204,3,0.0,1.0905658
18,86,informational,1a353048b0884fc5a0afa27677ef1e80,0,0,3,0,0,1,1,1,0,0,1,51,56000.0,1476,1,0,0.05758087201125176,1,0.0,0.75533366
19,87,bogo,c099206f76b1414db7552f163520053c,0,5,7,5,1,1,1,0,1,0,0,118,65405.0,731,0,0,0.033217391304347824,4,0.0,0.26517588
20,97,bogo,81e9ad5fa55a4884b65e01a5db8f1b4e,0,10,7,10,0,1,1,1,1,0,0,79,67000.0,1064,0,1,0.3827714285714286,2,0.0,3.8975224
21,98,discount,ed46fca6de7042478b411690878dc069,0,10,7,2,1,1,1,0,0,1,0,118,65405.0,1711,0,0,0.002545968882602546,1,1.16,-0.00014489889
22,106,bogo,2399b6b4f8bb4fecb3cfd9cb986922b7,0,5,5,5,1,1,1,1,1,0,0,53,56000.0,1639,0,1,0.10983074753173484,1,0.0,0.19404516
23,107,discount,fe97aa22dd3e48c8b143116a8403dd52,0,10,10,2,1,1,1,1,0,1,0,39,67000.0,1602,1,0,0.7768571428571428,2,18.97,6.2442384
24,108,informational,c863af14b3654499b1caea5e640136d2,0,0,3,0,0,1,1,1,0,0,1,68,58000.0,1654,0,1,0.024769452449567724,3,0.0,-0.6725316
25,114,bogo,d8567f1400d8486cb31c6abba64389ec,0,10,7,10,0,1,1,1,1,0,0,38,64000.0,1543,0,1,0.21562857142857145,2,0.0,3.35991
26,117,bogo,4293153650e04742b310ac06cd3810e9,0,5,7,5,1,1,1,0,1,0,0,55,51000.0,1805,1,0,0.037159253945480634,2,0.0,-0.084725976
27,119,discount,c382ccba648a45b0bb55f3465df838aa,0,7,7,3,1,1,1,1,0,1,0,36,57000.0,1519,1,0,0.12878571428571428,2,1.61,1.9440682
29,133,discount,b818e955451b47db9fc8767fa45e464e,0,7,7,3,1,1,1,1,0,1,0,61,44000.0,1478,0,1,0.02539454806312769,2,0.0,0.26998094
30,142,bogo,d1a6fe4c241e4dbf8a4da6fd6c714ac5,0,5,7,5,1,1,1,0,1,0,0,62,73000.0,981,0,1,0.3089857142857143,2,0.0,4.5489993
31,145,bogo,ae47fbe72b274838a2093c3e91bc03dc,0,10,7,10,0,1,1,1,1,0,0,54,118000.0,1298,0,1,0.2644017094017094,2,0.0,2.6273184
32,157,bogo,82d57bf7f37a4b37aff9e7bd293be8bc,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1702,0,0,0.012042857142857142,2,0.0,0.04931006
33,158,informational,e737ff591120415581ddbe817b8c82ca,0,0,3,0,0,1,1,1,0,0,1,47,74000.0,890,1,0,0.3378409090909091,2,0.0,3.3600864
34,170,discount,09e7e40eb89943458f4f79fe2e023dd6,0,10,10,2,1,1,1,1,0,1,0,44,36000.0,1535,0,1,0.031246376811594208,3,0.0,-0.18642724
35,177,discount,c894971c9e414a358b84255199727636,0,7,7,3,1,1,1,1,0,1,0,30,54000.0,1132,0,1,0.9869710144927536,3,6.97,6.0979676
36,182,discount,00c6035df45840038a72766c6d27a0db,0,10,10,2,1,1,1,1,0,1,0,47,86000.0,1307,0,1,0.3152669552669552,3,0.0,4.4558644
37,192,bogo,da6c95e567f94dfdb54c16073807fcfe,0,5,7,5,1,1,1,0,1,0,0,72,39000.0,1503,0,1,0.1365625,2,0.0,1.4930046
38,203,discount,24c1287eb7a84cfd80472a82e05b1d57,0,10,10,2,1,1,1,1,0,1,0,100,63000.0,760,1,0,0.2917739628040057,2,0.0,4.0708156
39,207,discount,62fb072537a647a89f99fb9ea66a7c00,0,10,10,2,1,1,1,1,0,1,0,73,95000.0,1532,0,1,0.07731988472622478,2,17.78,2.7961411
40,211,discount,4e6eb10de9744995be7496f5b1cc7bcf,0,10,10,2,1,1,1,1,0,1,0,20,32000.0,744,0,1,0.1330965909090909,1,0.0,2.5657878
41,213,bogo,e08a264dc9a54efca07e1cf7e9b38480,0,10,5,10,1,1,1,1,1,0,0,24,69000.0,637,0,1,0.094950634696756,1,0.0,0.15833685
42,218,discount,a8719d4d305444579b2d2c1b777c3417,0,7,7,3,1,1,1,1,0,1,0,52,85000.0,270,0,1,0.2033475783475784,2,0.0,2.027277
43,224,discount,91d4029efe87429984d0152b669cea65,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1724,0,0,0.011414285714285715,2,0.0,-0.24002558
44,226,bogo,7a7aece75d5347bd869fbcf707aea6b1,0,10,7,10,0,1,1,1,1,0,0,42,71000.0,1534,1,0,0.0966231884057971,3,0.0,0.18598348
45,227,bogo,8f7dd3b2afe14c078eb4f6e6fe4ba97d,0,10,5,10,1,1,1,1,1,0,0,48,62000.0,766,0,1,0.15022566995768688,1,19.11,3.7288601
46,229,discount,bf5e5a7d926e4cbfb2da22f8f7d5c18c,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1449,0,0,0.07079022988505748,3,0.29,0.5234848
47,234,bogo,0861b9ca31b741bb8b411b18f82d18f6,0,5,5,5,1,1,1,1,1,0,0,73,92000.0,1429,0,1,0.4321852387843705,4,0.0,1.7265487
48,236,discount,eefbc1aac05142aeb0ce661d3a19ae48,0,10,10,2,1,1,1,1,0,1,0,67,71000.0,1476,1,0,0.12482954545454546,1,0.0,2.11197
49,240,discount,717a423a31284ce1b767cad1c471d968,0,7,7,3,1,1,1,1,0,1,0,57,41000.0,1735,0,1,0.019745403111739748,1,7.4,0.20460069
50,254,discount,be2b393781594f4da055ef99b4d95e48,0,10,7,2,1,1,1,0,0,1,0,50,57000.0,1002,0,1,0.4133333333333333,3,0.0,3.0311375
51,257,discount,b9326b9931164a05ab2c76266832d481,0,10,10,2,1,1,1,1,0,1,0,43,69000.0,829,0,1,0.22474747474747475,3,0.0,3.7870557
52,260,bogo,fe23d94e175742209abf65cfbc684153,0,5,5,5,1,1,1,1,1,0,0,57,71000.0,1601,0,1,0.14992947813822285,1,0.0,1.0566621
53,264,bogo,991092556dfe4af39a5e446fd2746ac0,0,10,7,10,0,1,1,1,1,0,0,42,48000.0,1510,0,1,0.02637142857142857,2,0.0,0.78803444
54,266,discount,a7456960b600412fa516433d4821361c,0,10,10,2,1,1,1,1,0,1,0,62,39000.0,1687,0,1,0.03608011444921316,2,0.0,0.37861866
55,267,discount,8a61b3953f244ff1aecd5ea5e48ac74d,0,7,7,3,1,1,1,1,0,1,0,56,56000.0,755,0,1,0.11316165951359082,3,0.0,1.4857652
56,269,discount,62274260252f4b04962ec2f85295b447,0,7,7,3,1,1,1,1,0,1,0,67,56000.0,890,0,1,0.1351798561151079,3,0.0,1.9775864
57,276,bogo,a30a693afbd74047a3796bfb7d10e740,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1055,0,0,0.013991477272727277,2,0.0,0.7157787
58,277,bogo,9ddafd9acd6e441a8ebf8845e2ac5319,0,10,5,10,1,1,1,1,1,0,0,63,41000.0,1326,1,0,0.08434097421203438,3,0.0,0.66812336
59,279,discount,d11e7279219b418eb0133758d88ee285,0,10,7,2,1,1,1,0,0,1,0,61,99000.0,1049,1,0,0.22104667609618106,1,0.0,3.2293181
60,285,discount,85727ebd2e324b60839c149682294ba7,0,10,10,2,1,1,1,1,0,1,0,80,48000.0,1626,1,0,0.6130113636363638,1,0.0,2.9538243
61,293,bogo,b432b74402bb4981a4651c8df1670365,0,10,5,10,1,1,1,1,1,0,0,63,70000.0,1506,1,0,0.02215099715099715,2,6.46,-0.088232815
62,294,informational,d6e40d21be454a08853aeafbd3532647,0,0,3,0,0,1,1,1,0,0,1,42,94000.0,864,0,1,0.31245738636363635,2,0.0,2.6607401
63,298,discount,dce9bfaf37e64b75b5c40866cfe71c80,0,7,7,3,1,1,1,1,0,1,0,43,52000.0,927,0,1,0.24461103253182465,1,0.0,3.3872817
64,301,informational,5749731ed31948abb540a956963926ba,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1553,0,0,0.010524781341107872,5,0.0,0.6609567
65,305,bogo,d0168acdc0674ecab25e5c18271160d1,0,10,7,10,0,1,1,1,1,0,0,84,57000.0,1752,1,0,0.08191304347826088,3,0.0,-0.60328984
66,306,discount,55c69bafc66d4bf6a7df7f1f752c1b38,0,7,7,3,1,1,1,1,0,1,0,36,58000.0,1364,1,0,0.12404829545454545,2,0.0,2.6257424
67,307,bogo,6e43570e4517416cb3bcadd49d3da70f,0,5,7,5,1,1,1,0,1,0,0,67,89000.0,1768,0,1,0.12815295815295816,3,0.0,0.2765317
68,309,bogo,227f2d69e46a4899b70d48182822cff6,0,10,5,10,1,1,1,1,1,0,0,51,100000.0,1748,0,1,0.18267525035765372,3,28.39,3.4904783
69,310,bogo,a2eab1f4ba0c4d339de106c93d509679,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1360,0,0,0.016332378223495703,3,0.0,-0.11968416
70,311,bogo,d2d8012642ec43e09c18dd814bd1ec6c,0,5,5,5,1,1,1,1,1,0,0,48,68000.0,1513,0,1,0.14219512195121953,3,0.0,1.2937837
71,313,bogo,75da3f6ef64b4bdebc1045dfa2bbb546,0,10,7,10,0,1,1,1,1,0,0,25,53000.0,1662,0,1,0.01352857142857143,2,0.0,0.3201909
72,322,informational,fc41f98eaccc4c6e9ba3d3361714c527,0,0,4,0,1,1,1,0,0,0,1,62,61000.0,1581,0,1,0.088056338028169,1,0.0,0.4822198
73,325,bogo,be7ff3cb6bf84ce395471e52b64b70c6,0,5,7,5,1,1,1,0,1,0,0,65,66000.0,1628,1,0,0.08636094674556212,6,0.0,-0.015626013
74,326,discount,60038831ac7b4638ae031f61c61486a2,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1568,0,0,0.04227142857142857,2,0.0,-0.1212731
75,330,bogo,ca369d4c5c0c4bb996bf78ec0b65775b,0,5,5,5,1,1,1,1,1,0,0,53,104000.0,1274,0,1,0.304132581100141,1,0.0,2.6857698
76,334,discount,8ff5631582df4e07a0df6d4c59c86000,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1565,0,0,0.002687411598302687,1,0.0,0.091563344
77,338,bogo,ec290c4f5c204a4c85f256ee190bd583,0,5,7,5,1,1,1,0,1,0,0,63,94000.0,909,1,0,0.33185507246376816,3,0.0,3.295459
78,343,discount,7f162ea908464199a7c80d2573c532a9,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1338,0,0,0.022258522727272727,1,0.0,0.55942863
79,345,discount,4051d8962dfd4b39ab77d39f6440ccb8,0,10,7,2,1,1,1,0,0,1,0,58,55000.0,847,0,1,0.221875,5,0.0,2.950168
80,349,discount,d7d78a3fabfc4f53883e5fa624c3d612,0,10,10,2,1,1,1,1,0,1,0,24,38000.0,1800,0,1,0.008366477272727272,1,0.0,0.071287036
81,350,bogo,580282318a424572b41b1ad3516eb976,0,10,7,10,0,1,1,1,1,0,0,48,57000.0,1220,0,1,0.1582972582972583,3,14.06,3.2821004
82,355,bogo,416fa60078fd4121b15416f2806d7a7c,0,10,5,10,1,1,1,1,1,0,0,57,33000.0,1460,0,1,0.030451339915373764,1,0.0,1.4303372
83,359,discount,21fbd00c84bc49e59278f2c8448a5a9c,0,10,7,2,1,1,1,0,0,1,0,62,85000.0,1509,0,1,0.05257425742574258,1,0.0,0.4166533
84,369,bogo,d5f5fd09f88541658e616b46df7f6576,0,10,5,10,1,1,1,1,1,0,0,61,67000.0,786,1,0,0.5062426900584795,5,0.0,2.761344
85,372,informational,ab1ceb3bfc0b47f0b24685f94542aa05,0,0,4,0,1,1,1,0,0,0,1,41,41000.0,654,0,1,0.0436056338028169,1,0.0,0.6606608
86,375,bogo,01f46a5191424005af436cdf48a5da7c,0,5,7,5,1,1,1,0,1,0,0,63,89000.0,783,0,0,0.2379857142857143,2,0.0,3.4319417
87,377,bogo,ec5800ee8ae040708487b6473b1fbefc,0,5,7,5,1,1,1,0,1,0,0,47,77000.0,1658,0,1,0.09051948051948053,3,0.0,0.5703554
88,384,discount,93534b7c68e44474a67b2c41fe95ecaa,0,10,10,2,1,1,1,1,0,1,0,87,55000.0,620,0,1,0.06984375,1,0.0,0.75498706
89,385,discount,f7e127d8fc04493385ae51a3b3f6411c,0,10,10,2,1,1,1,1,0,1,0,86,84000.0,646,1,0,0.1984826589595376,3,0.0,1.5990806
90,388,informational,662f3247f37c4ae7a2abb8f6e266a633,0,0,3,0,0,1,1,1,0,0,1,25,53000.0,1545,0,1,0.022433192686357246,1,0.0,-0.7618121
91,398,informational,a453d70e85fd493f9584570a3dae58a8,0,0,3,0,0,1,1,1,0,0,1,62,117000.0,1804,1,0,0.24194008559201144,2,0.0,1.7278217
92,401,discount,f8f12b89a9e740d881f21dbe62c05c22,0,10,10,2,1,1,1,1,0,1,0,61,63000.0,1352,0,1,0.3648286140089417,6,22.11,9.912516
93,403,bogo,3218f620e3c84a109891170e8d71f8fb,0,10,7,10,0,1,1,1,1,0,0,37,47000.0,1799,1,0,0.12056115107913667,3,0.0,0.5721224
94,423,bogo,dbb37c0caad54f4a979a8121de79d0a2,0,5,7,5,1,1,1,0,1,0,0,37,59000.0,1671,0,1,0.07347701149425287,3,0.0,0.05052936
95,424,bogo,8250821311ad4d33becbc761e76b12f7,0,10,7,10,0,1,1,1,1,0,0,59,36000.0,395,0,1,0.07353606789250354,1,0.0,1.4200168
96,437,discount,25b4b4120a1a4cb6b7c6bc929a419ba6,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1356,0,0,0.04190340909090909,1,0.17,0.6467664
97,443,bogo,d72d201be5794279aa716d8ad82b8d90,0,5,5,5,1,1,1,1,1,0,0,51,73000.0,939,1,0,0.39431654676258987,3,13.57,4.106124
98,445,informational,ecd3d9913d5b48d2bd60aa7f73fee1cc,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1167,0,0,0.020357653791130186,4,0.0,0.29121327
99,452,bogo,111b40bd65784e179b2e7ba13c481ca2,0,5,5,5,1,1,1,1,1,0,0,62,48000.0,1514,0,1,0.13044159544159542,2,0.0,0.6551806
100,454,informational,d04b09c1ae754602aa52f3edad0660e2,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1650,0,0,0.005028169014084508,1,0.0,-0.10162532
101,458,discount,40b18766e22647e3ac27f7ae7c4844d5,0,20,10,5,1,1,0,0,0,1,0,55,83000.0,1518,0,1,0.15966810966810965,3,0.0,2.956896
102,459,bogo,51a798763c81413ca71c4f1f0530a61c,0,5,5,5,1,1,1,1,1,0,0,45,75000.0,1759,1,0,0.06830703012912483,3,0.0,0.7367482
103,469,discount,026876bc8c6a4e0c8e330342c92cc844,0,7,7,3,1,1,1,1,0,1,0,49,74000.0,1583,1,0,0.03731258840169732,1,0.0,1.0631163
104,470,discount,e58ffa65111b459c9d6d98b0e137d4b7,0,7,7,3,1,1,1,1,0,1,0,56,80000.0,758,1,0,0.30815714285714285,2,0.0,5.643185
105,472,bogo,21eef0356f42406c9e70c5e1c03ab378,0,10,5,10,1,1,1,1,1,0,0,47,62000.0,314,1,0,0.15337094499294782,1,0.0,1.2223715
106,474,informational,70be3c98f6f0499ab6fd1c1e487094b5,0,0,3,0,0,1,1,1,0,0,1,67,99000.0,1442,0,0,0.4798863636363637,2,0.0,3.5750034
107,478,bogo,7cca188abff447d0ae07fa3e8a8f1dda,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,1706,0,0,0.028208744710860368,1,0.0,0.08213562
108,488,bogo,24f1885ca61046c4b86b19858d3ae911,0,5,5,5,1,1,1,1,1,0,0,83,93000.0,1417,1,0,0.4012661870503597,3,0.0,2.2646983
109,490,discount,9ab83b0a9fe74e4ead33c741bcc4c2ea,0,10,10,2,1,1,1,1,0,1,0,69,97000.0,1307,1,0,0.4857080291970803,4,12.89,3.994787
110,494,bogo,af74271eb39449619fd3bc60e7b0bce4,0,5,5,5,1,1,1,1,1,0,0,73,63000.0,179,0,1,0.3317329545454545,2,0.0,1.358839
111,495,discount,3915674b75774fd8a5dccf50bc871d60,0,7,7,3,1,1,1,1,0,1,0,41,89000.0,1658,1,0,0.1835754985754985,2,0.0,2.108555
112,498,bogo,2ad9a1463cca40ed994e2a0dde0ffb08,0,10,7,10,0,1,1,1,1,0,0,38,61000.0,1600,0,1,0.02682926829268293,2,0.0,0.5753904
113,504,discount,70f115dc7bf84a2ca3b1481639590f2b,0,7,7,3,1,1,1,1,0,1,0,47,53000.0,1823,0,1,0.09555716353111432,4,0.0,-0.38131505
114,506,bogo,0cc13b3094c7473aa4fd1a6b35d25652,0,5,5,5,1,1,1,1,1,0,0,79,61000.0,1716,1,0,0.04423076923076923,2,0.0,-0.0942328
115,507,bogo,9c723149d24b4e4792182c8f7c0da6c3,0,10,7,10,0,1,1,1,1,0,0,30,43000.0,1350,0,1,0.06756718528995757,1,0.0,1.3746252
116,508,bogo,c92ad69c3da742279ca04720545955e0,0,10,5,10,1,1,1,1,1,0,0,34,50000.0,110,0,1,0.048801128349788434,1,0.0,0.7816773
117,520,discount,73ffefd41e9a4ca3ab26b2b3697c6eb7,0,10,7,2,1,1,1,0,0,1,0,67,67000.0,792,1,0,0.14386266094420602,3,31.42,5.586366
118,523,bogo,3e621194f72e40d7a0b695ee9b7c38b7,0,10,5,10,1,1,1,1,1,0,0,59,90000.0,1479,1,0,0.1832863187588152,1,27.89,4.9612875
119,527,discount,d7f4a8625e8341aca78542f792c0016c,0,10,10,2,1,1,1,1,0,1,0,34,50000.0,1663,0,1,0.15725968436154947,2,0.0,1.5809802
120,531,discount,3176a9b487b94539a391a3bbea9f08ab,0,10,7,2,1,1,1,0,0,1,0,62,88000.0,1792,1,0,0.0780635838150289,3,0.0,-0.347956
121,533,discount,d34af41fdf2a4ca2a68dc6991d5a8059,0,10,7,2,1,1,1,0,0,1,0,70,99000.0,1567,0,1,0.3139885222381636,2,0.0,2.748392
122,536,discount,b925f853e90442d99f203e12e899999b,0,10,7,2,1,1,1,0,0,1,0,51,99000.0,1703,0,1,0.07374285714285715,2,0.0,0.0012718141
123,540,informational,b28132faa6754c4590adcbd47e7a2004,0,0,3,0,0,1,1,1,0,0,1,72,49000.0,1482,0,1,0.006349431818181818,2,0.0,0.58168316
124,542,informational,66e04cebe10343a9b26dd1aaf909a601,0,0,3,0,0,1,1,1,0,0,1,118,65405.0,1474,0,0,0.01638888888888889,4,0.0,-0.41032743
125,549,bogo,3a94b435ee0647ceb716a182fdf82c7b,0,5,5,5,1,1,1,1,1,0,0,73,46000.0,1777,0,1,0.03386363636363637,2,0.0,0.06426963
126,551,informational,355ab404fc63416cbb0692b7ab9d51b6,0,0,4,0,1,1,1,0,0,0,1,59,61000.0,1799,0,1,0.04640845070422536,1,0.0,0.27853078
127,564,discount,552c4891951446c8a6098caa6b6d15d2,0,7,7,3,1,1,1,1,0,1,0,61,52000.0,1634,0,1,0.033762376237623765,1,0.0,0.21529382
128,565,discount,d53d607837ca4f86bc3c3fced23b35a9,0,7,7,3,1,1,1,1,0,1,0,26,41000.0,1734,1,0,0.02292929292929293,3,0.0,0.4105432
129,572,discount,072731be403a472883bed6c38a8e7aa8,0,7,7,3,1,1,1,1,0,1,0,50,73000.0,1079,0,1,0.16011396011396012,2,19.5,4.1143284
130,587,informational,85240db9bdca4e5486b9837ae5ceea59,0,0,3,0,0,1,1,1,0,0,1,118,65405.0,1567,0,0,0.030282485875706217,2,0.7000000000000001,0.1619839
131,590,discount,382e9ed67d2f4d80b9223d16a5d7344a,0,20,10,5,1,1,0,0,0,1,0,64,59000.0,1507,0,1,0.07759825327510918,3,0.0,1.3040867
132,598,discount,08e66f9936c545d4aedf21d35b96baf6,0,10,10,2,1,1,1,1,0,1,0,62,55000.0,738,1,0,0.13607703281027106,2,0.0,3.4245918
133,605,discount,bafc2350ece84692b0db74a6130a213c,0,7,7,3,1,1,1,1,0,1,0,32,38000.0,1728,0,1,0.03452991452991453,2,0.0,-0.09250897
134,609,bogo,188540a144304408b5ce19148b295f31,0,10,5,10,1,1,1,1,1,0,0,66,62000.0,1309,1,0,0.23413294797687856,3,0.0,1.8499856
135,621,bogo,7e45faba0a8346379d0c296f1df8ae1d,0,10,5,10,1,1,1,1,1,0,0,58,92000.0,1295,1,0,0.3361406025824964,3,0.0,3.3614264
136,626,discount,3a1747f3e741449387bb614da8e0171c,0,10,10,2,1,1,1,1,0,1,0,56,91000.0,1817,1,0,0.06713876967095851,2,0.0,-0.37933993
137,630,bogo,b8c17e6e004746a4800eeac73461b1dd,0,10,7,10,0,1,1,1,1,0,0,63,96000.0,1467,0,1,0.10282885431400283,1,0.0,1.0106969
138,640,discount,7195944f0cc34115b0a5e7b4a62055f2,0,20,10,5,1,1,0,0,0,1,0,47,77000.0,951,1,0,0.2373170731707317,2,11.52,5.4017086
139,642,bogo,017febbe52e64ac19cf28cf0d44386e4,0,10,7,10,0,1,1,1,1,0,0,61,100000.0,761,0,1,1.4192503536067893,1,0.0,2.4602175
140,646,bogo,363c76c8cc6e4554ba17d25349e03db8,0,10,7,10,0,1,1,1,1,0,0,69,36000.0,603,0,1,0.08105714285714287,2,0.0,0.31476015
141,652,bogo,75bb371cf36d4a9186397a9866ed2fbe,0,5,7,5,1,1,1,0,1,0,0,70,78000.0,1556,1,0,0.04446958981612447,1,0.0,-0.13141441
142,654,informational,a4ebb3f91224451a93cb4597ca3ceb41,0,0,3,0,0,1,1,1,0,0,1,43,47000.0,1691,1,0,0.07774964838255978,1,0.0,-0.06001985
143,659,bogo,b93ca45ff1c14f5cacad3c011e1e7fe3,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,777,0,0,0.028638360175695463,4,0.0,0.76630986
144,664,bogo,cb6f79f5cba444099bc59dd466551ff3,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,829,0,0,0.0186904761904762,6,0.0,-0.4159454
145,666,bogo,9a0905e16caf4cedb73580ec1b26b74f,0,10,5,10,1,1,1,1,1,0,0,22,50000.0,1554,1,0,0.02842031029619182,1,0.0,0.6020942
146,673,discount,49205a132a7e4cc3a28b5de8286300c3,0,10,7,2,1,1,1,0,0,1,0,84,68000.0,1720,1,0,0.17875530410183876,1,0.0,1.8441844
147,687,bogo,828ad37083a54120b6d74194a386bd28,0,5,5,5,1,1,1,1,1,0,0,60,68000.0,1556,0,1,0.024090267983074752,1,0.0,0.013402462
148,688,bogo,fab3921ad34343d28dfb70c6217a1072,0,5,5,5,1,1,1,1,1,0,0,47,62000.0,945,0,1,0.17841642228739005,4,0.0,1.4320904
149,693,bogo,d0c9c4785bf34d839b31485a37bf25ca,0,10,5,10,1,1,1,1,1,0,0,57,38000.0,1204,0,1,0.031043723554301836,1,0.0,1.9741205
150,697,bogo,4306f7eff9f14072833008e7b63ac535,0,10,7,10,0,1,1,1,1,0,0,42,63000.0,1411,0,1,0.22050919377652048,1,21.53,4.61762
151,701,bogo,eb54db3fc001441298a525285b8f6447,0,10,7,10,0,1,1,1,1,0,0,47,53000.0,1548,1,0,0.11283453237410072,3,0.0,0.4140116
152,705,discount,e40a30e3e700408388a01b8654001020,0,10,10,2,1,1,1,1,0,1,0,63,73000.0,1433,0,1,0.24978693181818185,1,17.86,7.107301
153,706,informational,fb2fc8d52449467b8782559cca62332e,0,0,4,0,1,1,1,0,0,0,1,54,91000.0,1461,1,0,0.09266197183098593,1,0.0,1.0109324
154,719,bogo,f5e705aa4a81404abe294559f1904fb7,0,5,7,5,1,1,1,0,1,0,0,37,100000.0,791,1,0,0.2847153284671533,4,0.0,5.6625295
155,724,bogo,2ddc7d63c32d4606a7a45e3e70439b44,0,10,7,10,0,1,1,1,1,0,0,74,61000.0,773,0,0,0.512998585572843,1,0.0,3.7057076
156,727,bogo,acde74ee0f4d418e8fd5bf4f4da8f56c,0,5,7,5,1,1,1,0,1,0,0,55,76000.0,1375,0,0,0.3302142857142857,2,0.0,2.935546
157,734,bogo,0199681637524988a14245632b8376af,0,5,5,5,1,1,1,1,1,0,0,74,72000.0,1585,1,0,0.3198852223816356,3,0.0,2.623942
158,740,bogo,77761cb48d174951b3fbab5f9053f3a1,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,853,0,0,0.0693917963224894,1,0.0,2.0615168
159,760,bogo,eb96c54abda74fa5862e03662b0953ed,0,5,5,5,1,1,1,1,1,0,0,43,63000.0,1522,1,0,0.1156,3,0.0,3.53911
160,762,discount,56c1574caaa24a07b4962967f2dcc1fa,0,10,10,2,1,1,1,1,0,1,0,73,75000.0,1793,1,0,0.7310086455331413,2,0.0,1.2363706
161,772,discount,e0f65aef367b43f8a2a942efed83f87a,0,7,7,3,1,1,1,1,0,1,0,49,79000.0,1626,1,0,0.03171145685997171,1,0.0,0.64612305
