,offer_type,offer_id,person,time,difficulty,duration,reward,web,email,mobile,social,bogo,discount,informational,age,income,member_date_int,F,M,typical_spending_m1,num_offers,spending_during_offer
97,bogo,ae264e3637204a6fb9bb56bc8210ddfd,81e9ad5fa55a4884b65e01a5db8f1b4e,0,10,7,10,0,1,1,1,1,0,0,79,67000.0,1064,0,1,0.3827714285714286,2,0.0
98,discount,2906b810c7d4411798c6938adc9daaa5,ed46fca6de7042478b411690878dc069,0,10,7,2,1,1,1,0,0,1,0,118,65405.0,1711,0,0,0.002545968882602546,1,1.16
106,bogo,f19421c1d4aa40978ebb69ca19b0e20d,2399b6b4f8bb4fecb3cfd9cb986922b7,0,5,5,5,1,1,1,1,1,0,0,53,56000.0,1639,0,1,0.10983074753173484,1,0.0
107,discount,fafdcd668e3743c1bb461111dcafc2a4,fe97aa22dd3e48c8b143116a8403dd52,0,10,10,2,1,1,1,1,0,1,0,39,67000.0,1602,1,0,0.7768571428571428,2,18.97
108,informational,5a8bc65990b245e5a138643cd4eb9837,c863af14b3654499b1caea5e640136d2,0,0,3,0,0,1,1,1,0,0,1,68,58000.0,1654,0,1,0.024769452449567724,3,0.0
114,bogo,ae264e3637204a6fb9bb56bc8210ddfd,d8567f1400d8486cb31c6abba64389ec,0,10,7,10,0,1,1,1,1,0,0,38,64000.0,1543,0,1,0.21562857142857145,2,0.0
117,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,4293153650e04742b310ac06cd3810e9,0,5,7,5,1,1,1,0,1,0,0,55,51000.0,1805,1,0,0.037159253945480634,2,0.0
119,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,c382ccba648a45b0bb55f3465df838aa,0,7,7,3,1,1,1,1,0,1,0,36,57000.0,1519,1,0,0.12878571428571428,2,1.61
125,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,629fc02d56414d91bca360decdfa9288,0,5,7,5,1,1,1,0,1,0,0,52,72000.0,1772,0,1,0.046797671033478885,4,33.9
133,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,b818e955451b47db9fc8767fa45e464e,0,7,7,3,1,1,1,1,0,1,0,61,44000.0,1478,0,1,0.02539454806312769,2,0.0
142,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,d1a6fe4c241e4dbf8a4da6fd6c714ac5,0,5,7,5,1,1,1,0,1,0,0,62,73000.0,981,0,1,0.3089857142857143,2,0.0
145,bogo,ae264e3637204a6fb9bb56bc8210ddfd,ae47fbe72b274838a2093c3e91bc03dc,0,10,7,10,0,1,1,1,1,0,0,54,118000.0,1298,0,1,0.2644017094017094,2,0.0
157,bogo,ae264e3637204a6fb9bb56bc8210ddfd,82d57bf7f37a4b37aff9e7bd293be8bc,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1702,0,0,0.012042857142857142,2,0.0
158,informational,5a8bc65990b245e5a138643cd4eb9837,e737ff591120415581ddbe817b8c82ca,0,0,3,0,0,1,1,1,0,0,1,47,74000.0,890,1,0,0.3378409090909091,2,0.0
170,discount,fafdcd668e3743c1bb461111dcafc2a4,09e7e40eb89943458f4f79fe2e023dd6,0,10,10,2,1,1,1,1,0,1,0,44,36000.0,1535,0,1,0.031246376811594208,3,0.0
177,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,c894971c9e414a358b84255199727636,0,7,7,3,1,1,1,1,0,1,0,30,54000.0,1132,0,1,0.9869710144927536,3,6.97
182,discount,fafdcd668e3743c1bb461111dcafc2a4,00c6035df45840038a72766c6d27a0db,0,10,10,2,1,1,1,1,0,1,0,47,86000.0,1307,0,1,0.3152669552669552,3,0.0
192,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,da6c95e567f94dfdb54c16073807fcfe,0,5,7,5,1,1,1,0,1,0,0,72,39000.0,1503,0,1,0.1365625,2,0.0
203,discount,fafdcd668e3743c1bb461111dcafc2a4,24c1287eb7a84cfd80472a82e05b1d57,0,10,10,2,1,1,1,1,0,1,0,100,63000.0,760,1,0,0.2917739628040057,2,0.0
207,discount,fafdcd668e3743c1bb461111dcafc2a4,62fb072537a647a89f99fb9ea66a7c00,0,10,10,2,1,1,1,1,0,1,0,73,95000.0,1532,0,1,0.07731988472622478,2,17.78
211,discount,fafdcd668e3743c1bb461111dcafc2a4,4e6eb10de9744995be7496f5b1cc7bcf,0,10,10,2,1,1,1,1,0,1,0,20,32000.0,744,0,1,0.1330965909090909,1,0.0
213,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,e08a264dc9a54efca07e1cf7e9b38480,0,10,5,10,1,1,1,1,1,0,0,24,69000.0,637,0,1,0.094950634696756,1,0.0
218,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,a8719d4d305444579b2d2c1b777c3417,0,7,7,3,1,1,1,1,0,1,0,52,85000.0,270,0,1,0.2033475783475784,2,0.0
224,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,91d4029efe87429984d0152b669cea65,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1724,0,0,0.011414285714285715,2,0.0
226,bogo,ae264e3637204a6fb9bb56bc8210ddfd,7a7aece75d5347bd869fbcf707aea6b1,0,10,7,10,0,1,1,1,1,0,0,42,71000.0,1534,1,0,0.0966231884057971,3,0.0
227,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,8f7dd3b2afe14c078eb4f6e6fe4ba97d,0,10,5,10,1,1,1,1,1,0,0,48,62000.0,766,0,1,0.15022566995768688,1,19.11
229,discount,fafdcd668e3743c1bb461111dcafc2a4,bf5e5a7d926e4cbfb2da22f8f7d5c18c,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1449,0,0,0.07079022988505748,3,0.29
234,bogo,f19421c1d4aa40978ebb69ca19b0e20d,0861b9ca31b741bb8b411b18f82d18f6,0,5,5,5,1,1,1,1,1,0,0,73,92000.0,1429,0,1,0.4321852387843705,4,0.0
236,discount,fafdcd668e3743c1bb461111dcafc2a4,eefbc1aac05142aeb0ce661d3a19ae48,0,10,10,2,1,1,1,1,0,1,0,67,71000.0,1476,1,0,0.12482954545454546,1,0.0
240,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,717a423a31284ce1b767cad1c471d968,0,7,7,3,1,1,1,1,0,1,0,57,41000.0,1735,0,1,0.019745403111739748,1,7.4
254,discount,2906b810c7d4411798c6938adc9daaa5,be2b393781594f4da055ef99b4d95e48,0,10,7,2,1,1,1,0,0,1,0,50,57000.0,1002,0,1,0.4133333333333333,3,0.0
257,discount,fafdcd668e3743c1bb461111dcafc2a4,b9326b9931164a05ab2c76266832d481,0,10,10,2,1,1,1,1,0,1,0,43,69000.0,829,0,1,0.22474747474747475,3,0.0
260,bogo,f19421c1d4aa40978ebb69ca19b0e20d,fe23d94e175742209abf65cfbc684153,0,5,5,5,1,1,1,1,1,0,0,57,71000.0,1601,0,1,0.14992947813822285,1,0.0
264,bogo,ae264e3637204a6fb9bb56bc8210ddfd,991092556dfe4af39a5e446fd2746ac0,0,10,7,10,0,1,1,1,1,0,0,42,48000.0,1510,0,1,0.02637142857142857,2,0.0
266,discount,fafdcd668e3743c1bb461111dcafc2a4,a7456960b600412fa516433d4821361c,0,10,10,2,1,1,1,1,0,1,0,62,39000.0,1687,0,1,0.03608011444921316,2,0.0
267,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,8a61b3953f244ff1aecd5ea5e48ac74d,0,7,7,3,1,1,1,1,0,1,0,56,56000.0,755,0,1,0.11316165951359082,3,0.0
269,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,62274260252f4b04962ec2f85295b447,0,7,7,3,1,1,1,1,0,1,0,67,56000.0,890,0,1,0.1351798561151079,3,0.0
276,bogo,ae264e3637204a6fb9bb56bc8210ddfd,a30a693afbd74047a3796bfb7d10e740,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1055,0,0,0.013991477272727277,2,0.0
277,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,9ddafd9acd6e441a8ebf8845e2ac5319,0,10,5,10,1,1,1,1,1,0,0,63,41000.0,1326,1,0,0.08434097421203438,3,0.0
279,discount,2906b810c7d4411798c6938adc9daaa5,d11e7279219b418eb0133758d88ee285,0,10,7,2,1,1,1,0,0,1,0,61,99000.0,1049,1,0,0.22104667609618106,1,0.0
285,discount,fafdcd668e3743c1bb461111dcafc2a4,85727ebd2e324b60839c149682294ba7,0,10,10,2,1,1,1,1,0,1,0,80,48000.0,1626,1,0,0.6130113636363638,1,0.0
293,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,b432b74402bb4981a4651c8df1670365,0,10,5,10,1,1,1,1,1,0,0,63,70000.0,1506,1,0,0.02215099715099715,2,6.46
294,informational,5a8bc65990b245e5a138643cd4eb9837,d6e40d21be454a08853aeafbd3532647,0,0,3,0,0,1,1,1,0,0,1,42,94000.0,864,0,1,0.31245738636363635,2,0.0
298,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,dce9bfaf37e64b75b5c40866cfe71c80,0,7,7,3,1,1,1,1,0,1,0,43,52000.0,927,0,1,0.24461103253182465,1,0.0
301,informational,3f207df678b143eea3cee63160fa8bed,5749731ed31948abb540a956963926ba,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1553,0,0,0.010524781341107872,5,0.0
305,bogo,ae264e3637204a6fb9bb56bc8210ddfd,d0168acdc0674ecab25e5c18271160d1,0,10,7,10,0,1,1,1,1,0,0,84,57000.0,1752,1,0,0.08191304347826088,3,0.0
306,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,55c69bafc66d4bf6a7df7f1f752c1b38,0,7,7,3,1,1,1,1,0,1,0,36,58000.0,1364,1,0,0.12404829545454545,2,0.0
307,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,6e43570e4517416cb3bcadd49d3da70f,0,5,7,5,1,1,1,0,1,0,0,67,89000.0,1768,0,1,0.12815295815295816,3,0.0
309,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,227f2d69e46a4899b70d48182822cff6,0,10,5,10,1,1,1,1,1,0,0,51,100000.0,1748,0,1,0.18267525035765375,3,28.39
310,bogo,ae264e3637204a6fb9bb56bc8210ddfd,a2eab1f4ba0c4d339de106c93d509679,0,10,7,10,0,1,1,1,1,0,0,118,65405.0,1360,0,0,0.016332378223495703,3,0.0
311,bogo,f19421c1d4aa40978ebb69ca19b0e20d,d2d8012642ec43e09c18dd814bd1ec6c,0,5,5,5,1,1,1,1,1,0,0,48,68000.0,1513,0,1,0.14219512195121953,3,0.0
313,bogo,ae264e3637204a6fb9bb56bc8210ddfd,75da3f6ef64b4bdebc1045dfa2bbb546,0,10,7,10,0,1,1,1,1,0,0,25,53000.0,1662,0,1,0.01352857142857143,2,0.0
322,informational,3f207df678b143eea3cee63160fa8bed,fc41f98eaccc4c6e9ba3d3361714c527,0,0,4,0,1,1,1,0,0,0,1,62,61000.0,1581,0,1,0.088056338028169,1,0.0
325,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,be7ff3cb6bf84ce395471e52b64b70c6,0,5,7,5,1,1,1,0,1,0,0,65,66000.0,1628,1,0,0.08636094674556212,6,0.0
326,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,60038831ac7b4638ae031f61c61486a2,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1568,0,0,0.04227142857142857,2,0.0
330,bogo,f19421c1d4aa40978ebb69ca19b0e20d,ca369d4c5c0c4bb996bf78ec0b65775b,0,5,5,5,1,1,1,1,1,0,0,53,104000.0,1274,0,1,0.304132581100141,1,0.0
334,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,8ff5631582df4e07a0df6d4c59c86000,0,7,7,3,1,1,1,1,0,1,0,118,65405.0,1565,0,0,0.002687411598302687,1,0.0
338,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,ec290c4f5c204a4c85f256ee190bd583,0,5,7,5,1,1,1,0,1,0,0,63,94000.0,909,1,0,0.33185507246376816,3,0.0
343,discount,fafdcd668e3743c1bb461111dcafc2a4,7f162ea908464199a7c80d2573c532a9,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1338,0,0,0.022258522727272727,1,0.0
345,discount,2906b810c7d4411798c6938adc9daaa5,4051d8962dfd4b39ab77d39f6440ccb8,0,10,7,2,1,1,1,0,0,1,0,58,55000.0,847,0,1,0.221875,5,0.0
349,discount,fafdcd668e3743c1bb461111dcafc2a4,d7d78a3fabfc4f53883e5fa624c3d612,0,10,10,2,1,1,1,1,0,1,0,24,38000.0,1800,0,1,0.008366477272727272,1,0.0
350,bogo,ae264e3637204a6fb9bb56bc8210ddfd,580282318a424572b41b1ad3516eb976,0,10,7,10,0,1,1,1,1,0,0,48,57000.0,1220,0,1,0.1582972582972583,3,14.06
355,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,416fa60078fd4121b15416f2806d7a7c,0,10,5,10,1,1,1,1,1,0,0,57,33000.0,1460,0,1,0.030451339915373764,1,0.0
359,discount,2906b810c7d4411798c6938adc9daaa5,21fbd00c84bc49e59278f2c8448a5a9c,0,10,7,2,1,1,1,0,0,1,0,62,85000.0,1509,0,1,0.05257425742574258,1,0.0
369,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,d5f5fd09f88541658e616b46df7f6576,0,10,5,10,1,1,1,1,1,0,0,61,67000.0,786,1,0,0.5062426900584795,5,0.0
372,informational,3f207df678b143eea3cee63160fa8bed,ab1ceb3bfc0b47f0b24685f94542aa05,0,0,4,0,1,1,1,0,0,0,1,41,41000.0,654,0,1,0.0436056338028169,1,0.0
375,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,01f46a5191424005af436cdf48a5da7c,0,5,7,5,1,1,1,0,1,0,0,63,89000.0,783,0,0,0.2379857142857143,2,0.0
377,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,ec5800ee8ae040708487b6473b1fbefc,0,5,7,5,1,1,1,0,1,0,0,47,77000.0,1658,0,1,0.09051948051948053,3,0.0
384,discount,fafdcd668e3743c1bb461111dcafc2a4,93534b7c68e44474a67b2c41fe95ecaa,0,10,10,2,1,1,1,1,0,1,0,87,55000.0,620,0,1,0.06984375,1,0.0
385,discount,fafdcd668e3743c1bb461111dcafc2a4,f7e127d8fc04493385ae51a3b3f6411c,0,10,10,2,1,1,1,1,0,1,0,86,84000.0,646,1,0,0.1984826589595376,3,0.0
388,informational,5a8bc65990b245e5a138643cd4eb9837,662f3247f37c4ae7a2abb8f6e266a633,0,0,3,0,0,1,1,1,0,0,1,25,53000.0,1545,0,1,0.022433192686357246,1,0.0
398,informational,5a8bc65990b245e5a138643cd4eb9837,a453d70e85fd493f9584570a3dae58a8,0,0,3,0,0,1,1,1,0,0,1,62,117000.0,1804,1,0,0.24194008559201144,2,0.0
401,discount,fafdcd668e3743c1bb461111dcafc2a4,f8f12b89a9e740d881f21dbe62c05c22,0,10,10,2,1,1,1,1,0,1,0,61,63000.0,1352,0,1,0.36482861400894173,6,22.11
403,bogo,ae264e3637204a6fb9bb56bc8210ddfd,3218f620e3c84a109891170e8d71f8fb,0,10,7,10,0,1,1,1,1,0,0,37,47000.0,1799,1,0,0.12056115107913667,3,0.0
423,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,dbb37c0caad54f4a979a8121de79d0a2,0,5,7,5,1,1,1,0,1,0,0,37,59000.0,1671,0,1,0.07347701149425287,3,0.0
424,bogo,ae264e3637204a6fb9bb56bc8210ddfd,8250821311ad4d33becbc761e76b12f7,0,10,7,10,0,1,1,1,1,0,0,59,36000.0,395,0,1,0.07353606789250354,1,0.0
437,discount,fafdcd668e3743c1bb461111dcafc2a4,25b4b4120a1a4cb6b7c6bc929a419ba6,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1356,0,0,0.04190340909090909,1,0.17
443,bogo,f19421c1d4aa40978ebb69ca19b0e20d,d72d201be5794279aa716d8ad82b8d90,0,5,5,5,1,1,1,1,1,0,0,51,73000.0,939,1,0,0.39431654676258987,3,13.57
445,informational,3f207df678b143eea3cee63160fa8bed,ecd3d9913d5b48d2bd60aa7f73fee1cc,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1167,0,0,0.020357653791130186,4,0.0
452,bogo,f19421c1d4aa40978ebb69ca19b0e20d,111b40bd65784e179b2e7ba13c481ca2,0,5,5,5,1,1,1,1,1,0,0,62,48000.0,1514,0,1,0.13044159544159542,2,0.0
454,informational,3f207df678b143eea3cee63160fa8bed,d04b09c1ae754602aa52f3edad0660e2,0,0,4,0,1,1,1,0,0,0,1,118,65405.0,1650,0,0,0.005028169014084508,1,0.0
458,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,40b18766e22647e3ac27f7ae7c4844d5,0,20,10,5,1,1,0,0,0,1,0,55,83000.0,1518,0,1,0.15966810966810965,3,0.0
459,bogo,f19421c1d4aa40978ebb69ca19b0e20d,51a798763c81413ca71c4f1f0530a61c,0,5,5,5,1,1,1,1,1,0,0,45,75000.0,1759,1,0,0.06830703012912483,3,0.0
469,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,026876bc8c6a4e0c8e330342c92cc844,0,7,7,3,1,1,1,1,0,1,0,49,74000.0,1583,1,0,0.037312588401697315,1,0.0
470,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,e58ffa65111b459c9d6d98b0e137d4b7,0,7,7,3,1,1,1,1,0,1,0,56,80000.0,758,1,0,0.30815714285714285,2,0.0
472,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,21eef0356f42406c9e70c5e1c03ab378,0,10,5,10,1,1,1,1,1,0,0,47,62000.0,314,1,0,0.15337094499294782,1,0.0
474,informational,5a8bc65990b245e5a138643cd4eb9837,70be3c98f6f0499ab6fd1c1e487094b5,0,0,3,0,0,1,1,1,0,0,1,67,99000.0,1442,0,0,0.4798863636363637,2,0.0
478,bogo,f19421c1d4aa40978ebb69ca19b0e20d,7cca188abff447d0ae07fa3e8a8f1dda,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,1706,0,0,0.028208744710860368,1,0.0
488,bogo,f19421c1d4aa40978ebb69ca19b0e20d,24f1885ca61046c4b86b19858d3ae911,0,5,5,5,1,1,1,1,1,0,0,83,93000.0,1417,1,0,0.4012661870503597,3,0.0
490,discount,fafdcd668e3743c1bb461111dcafc2a4,9ab83b0a9fe74e4ead33c741bcc4c2ea,0,10,10,2,1,1,1,1,0,1,0,69,97000.0,1307,1,0,0.4857080291970803,4,12.89
494,bogo,f19421c1d4aa40978ebb69ca19b0e20d,af74271eb39449619fd3bc60e7b0bce4,0,5,5,5,1,1,1,1,1,0,0,73,63000.0,179,0,1,0.3317329545454545,2,0.0
495,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,3915674b75774fd8a5dccf50bc871d60,0,7,7,3,1,1,1,1,0,1,0,41,89000.0,1658,1,0,0.1835754985754985,2,0.0
498,bogo,ae264e3637204a6fb9bb56bc8210ddfd,2ad9a1463cca40ed994e2a0dde0ffb08,0,10,7,10,0,1,1,1,1,0,0,38,61000.0,1600,0,1,0.02682926829268293,2,0.0
504,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,70f115dc7bf84a2ca3b1481639590f2b,0,7,7,3,1,1,1,1,0,1,0,47,53000.0,1823,0,1,0.09555716353111432,4,0.0
506,bogo,f19421c1d4aa40978ebb69ca19b0e20d,0cc13b3094c7473aa4fd1a6b35d25652,0,5,5,5,1,1,1,1,1,0,0,79,61000.0,1716,1,0,0.04423076923076923,2,0.0
507,bogo,ae264e3637204a6fb9bb56bc8210ddfd,9c723149d24b4e4792182c8f7c0da6c3,0,10,7,10,0,1,1,1,1,0,0,30,43000.0,1350,0,1,0.06756718528995757,1,0.0
508,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,c92ad69c3da742279ca04720545955e0,0,10,5,10,1,1,1,1,1,0,0,34,50000.0,110,0,1,0.048801128349788434,1,0.0
520,discount,2906b810c7d4411798c6938adc9daaa5,73ffefd41e9a4ca3ab26b2b3697c6eb7,0,10,7,2,1,1,1,0,0,1,0,67,67000.0,792,1,0,0.14386266094420602,3,31.42
523,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,3e621194f72e40d7a0b695ee9b7c38b7,0,10,5,10,1,1,1,1,1,0,0,59,90000.0,1479,1,0,0.1832863187588152,1,27.89
527,discount,fafdcd668e3743c1bb461111dcafc2a4,d7f4a8625e8341aca78542f792c0016c,0,10,10,2,1,1,1,1,0,1,0,34,50000.0,1663,0,1,0.15725968436154947,2,0.0
531,discount,2906b810c7d4411798c6938adc9daaa5,3176a9b487b94539a391a3bbea9f08ab,0,10,7,2,1,1,1,0,0,1,0,62,88000.0,1792,1,0,0.0780635838150289,3,0.0
533,discount,2906b810c7d4411798c6938adc9daaa5,d34af41fdf2a4ca2a68dc6991d5a8059,0,10,7,2,1,1,1,0,0,1,0,70,99000.0,1567,0,1,0.3139885222381636,2,0.0
536,discount,2906b810c7d4411798c6938adc9daaa5,b925f853e90442d99f203e12e899999b,0,10,7,2,1,1,1,0,0,1,0,51,99000.0,1703,0,1,0.07374285714285715,2,0.0
540,informational,5a8bc65990b245e5a138643cd4eb9837,b28132faa6754c4590adcbd47e7a2004,0,0,3,0,0,1,1,1,0,0,1,72,49000.0,1482,0,1,0.006349431818181818,2,0.0
542,informational,5a8bc65990b245e5a138643cd4eb9837,66e04cebe10343a9b26dd1aaf909a601,0,0,3,0,0,1,1,1,0,0,1,118,65405.0,1474,0,0,0.01638888888888889,4,0.0
549,bogo,f19421c1d4aa40978ebb69ca19b0e20d,3a94b435ee0647ceb716a182fdf82c7b,0,5,5,5,1,1,1,1,1,0,0,73,46000.0,1777,0,1,0.03386363636363637,2,0.0
551,informational,3f207df678b143eea3cee63160fa8bed,355ab404fc63416cbb0692b7ab9d51b6,0,0,4,0,1,1,1,0,0,0,1,59,61000.0,1799,0,1,0.04640845070422536,1,0.0
564,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,552c4891951446c8a6098caa6b6d15d2,0,7,7,3,1,1,1,1,0,1,0,61,52000.0,1634,0,1,0.033762376237623765,1,0.0
565,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,d53d607837ca4f86bc3c3fced23b35a9,0,7,7,3,1,1,1,1,0,1,0,26,41000.0,1734,1,0,0.02292929292929293,3,0.0
572,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,072731be403a472883bed6c38a8e7aa8,0,7,7,3,1,1,1,1,0,1,0,50,73000.0,1079,0,1,0.16011396011396012,2,19.5
587,informational,5a8bc65990b245e5a138643cd4eb9837,85240db9bdca4e5486b9837ae5ceea59,0,0,3,0,0,1,1,1,0,0,1,118,65405.0,1567,0,0,0.030282485875706217,2,0.7000000000000001
590,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,382e9ed67d2f4d80b9223d16a5d7344a,0,20,10,5,1,1,0,0,0,1,0,64,59000.0,1507,0,1,0.07759825327510918,3,0.0
598,discount,fafdcd668e3743c1bb461111dcafc2a4,08e66f9936c545d4aedf21d35b96baf6,0,10,10,2,1,1,1,1,0,1,0,62,55000.0,738,1,0,0.13607703281027106,2,0.0
605,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,bafc2350ece84692b0db74a6130a213c,0,7,7,3,1,1,1,1,0,1,0,32,38000.0,1728,0,1,0.03452991452991453,2,0.0
609,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,188540a144304408b5ce19148b295f31,0,10,5,10,1,1,1,1,1,0,0,66,62000.0,1309,1,0,0.23413294797687856,3,0.0
